id,Artist,Song Title,Year,Rank,Genre
771,REO Speedwagon,Take It On The Run,1981.0,32,Rock
772,Ronnie Milsap,No Gettin' Over Me,1981.0,33,Pop/Rock/Disco
773,Gino Vannelli,Living Inside Myself,1981.0,34,Pop/Rock/Disco
774,Barbra Streisand,Woman In Love,1981.0,35,Pop/Vocal
775,Manhattan Transfer,Boy From New York City,1981.0,36,Pop/Rock/Disco
776,Foreigner,Urgent,1981.0,37,Rock
777,Rod Stewart,Passion,1981.0,38,Rock/Pop
778,Commodores,Lady (You Bring Me Up),1981.0,39,Soul/Funk
779,Don Mclean,Crying,1981.0,40,Pop/Rock/Disco
780,Marty Balin,Hearts,1981.0,41,Pop/Rock/Disco
781,Diana Ross,It's My Turn,1981.0,42,Pop/Soul
782,Daryl Hall and John Oates,You Make My Dreams,1981.0,43,Pop Rock/Soul
783,Kenny Rogers,I Don't Need You,1981.0,44,Country/Pop
784,Champaign,How 'Bout Us,1981.0,45,Pop/Rock/Disco
785,Pat Benatar,Hit Me With Your Best Shot,1981.0,46,Rock
786,Greg Kihn Band,The Breakup Song,1981.0,47,Rock/Pop
787,Alan Parsons Project,Time,1981.0,48,Pop/Rock/Disco
788,Bruce Springsteen,Hungry Heart,1981.0,49,Rock
789,Franke and The Knockouts,Sweetheart,1981.0,50,Rock/Pop
790,Olivia Newton-John,Physical,1982.0,1,Pop/Country
791,Survivor,Eye Of The Tiger,1982.0,2,Rock
792,Joan Jett and The Blackhearts,I Love Rock N' Roll,1982.0,3,Rock/Pop
793,Paul McCartney and Stevie Wonder,Ebony And Ivory,1982.0,4,Pop/Rock/Disco
794,J. Geils Band,Centerfold,1982.0,5,Rock/Pop
795,Human League,Don't You Want Me,1982.0,6,Synth-pop
796,John Cougar,Jack And Diane,1982.0,7,Pop/Rock/Disco
797,John Cougar,Hurts So Good,1982.0,8,Pop/Rock/Disco
798,Steve Miller Band,Abracadabra,1982.0,9,Rock
799,Chicago,Hard To Say I'm Sorry,1982.0,10,Rock/Pop
800,Soft Cell,Tainted Love,1982.0,11,Pop/Rock/Disco
801,Vangelis,Chariots Of Fire,1982.0,12,Pop/Rock/Disco
802,Quarterflash,Harden My Heart,1982.0,13,Pop/Rock/Disco
803,Toto,Rosanna,1982.0,14,Rock/Pop
804,Daryl Hall and John Oates,I Can't Go For That,1982.0,15,Pop Rock/Soul
805,Tommy Tutone,867-5309 (Jenny),1982.0,16,Pop/Rock/Disco
806,Bertie Higgins,Key Largo,1982.0,17,Pop/Rock/Disco
807,Melissa Manchester,You Should Hear How She Talks About You,1982.0,18,Pop/Rock/Disco
808,Foreigner,Waiting For A Girl Like You,1982.0,19,Rock
809,Rick Springfield,Don't Talk To Strangers,1982.0,20,Pop/Rock/Disco
810,Juice Newton,The Sweetest Thing,1982.0,21,Country/Pop
811,Willie Nelson,Always On My Mind,1982.0,22,Country
812,Cars,Shake It Up,1982.0,23,Pop/Rock/Disco
813,Dazz Band,Let It Whip,1982.0,24,Rock/Pop
814,Go-Go's,We Got The Beat,1982.0,25,Pop/Rock/Disco
815,Ray Parker Jr.,The Other Woman,1982.0,26,Pop/Rock/Disco
816,George Benson,Turn Your Love Around,1982.0,27,Pop/Rock/Disco
817,Air Supply,Sweet Dreams,1982.0,28,Soft Rock/Pop
818,Motels,Only The Lonely,1982.0,29,Pop/Rock/Disco
819,Men At Work,Who Can It Be Now?,1982.0,30,Pop/Rock/Disco
820,Fleetwood Mac,Hold Me,1982.0,31,Rock/Pop
821,Alan Parsons Project,Eye In The Sky,1982.0,32,Pop/Rock/Disco
822,"Earth, Wind and Fire",Let's Groove,1982.0,33,R&B/Soul/Funk
823,Journey,Open Arms,1982.0,34,Rock/Arena Rock
824,Dan Fogelberg,Leader Of The Band,1982.0,35,Pop/Rock/Disco
825,Stevie Nicks and Don Henley,Leather And Lace,1982.0,36,Pop/Rock/Disco
826,Air Supply,Even The Nights Are Better,1982.0,37,Soft Rock/Pop
827,Charlene,I've Never Been To Me,1982.0,38,Pop/Rock/Disco
828,Paul Davis,'65 Love Affair,1982.0,39,Pop/Rock/Disco
829,Asia,Heat Of The Moment,1982.0,40,Pop/Rock/Disco
830,Little River Band,Take It Easy On Me,1982.0,41,Rock/Pop
831,Buckner and Garcia,Pac-Man Fever,1982.0,42,Pop/Rock/Disco
832,Stevie Wonder,That Girl,1982.0,43,Soul/R&B
833,Daryl Hall and John Oates,Private Eyes,1982.0,44,Pop Rock/Soul
834,Lindsey Buckingham,Trouble,1982.0,45,Pop/Rock/Disco
835,Roberta Flack,Making Love,1982.0,46,Soul/R&B
836,Juice Newton,Love's Been A Little Bit Hard On Me,1982.0,47,Country/Pop
837,Rod Stewart,Young Turks,1982.0,48,Rock/Pop
838,J. Geils Band,Freeze-Frame,1982.0,49,Rock/Pop
839,REO Speedwagon,Keep The Fire Burnin',1982.0,50,Rock
840,Police,Every Breath You Take,1983.0,1,Pop/Rock/Disco
841,Michael Jackson,Billie Jean,1983.0,2,Pop/R&B
842,Irene Cara,Flashdance... What A Feeling,1983.0,3,Pop/Rock/Disco
843,Men At Work,Down Under,1983.0,4,Pop/Rock/Disco
844,Michael Jackson,Beat It,1983.0,5,Pop/R&B
845,Bonnie Tyler,Total Eclipse Of The Heart,1983.0,6,Pop/Rock/Disco
846,Daryl Hall and John Oates,Maneater,1983.0,7,Pop Rock/Soul
847,Patti Austin and James Ingram,Baby Come To Me,1983.0,8,Pop/Rock/Disco
848,Michael Sembello,Maniac,1983.0,9,Pop/Rock/Disco
849,Eurythmics,Sweet Dreams (Are Made Of This),1983.0,10,Synth-pop
850,Culture Club,Do You Really Want To Hurt Me,1983.0,11,New Wave/Pop
851,Eddie Rabbitt and Crystal Gayle,You And I,1983.0,12,Pop/Rock/Disco
852,Dexy's Midnight Runners,Come On Eileen,1983.0,13,Pop/Rock/Disco
853,Bob Seger and The Silver Bullet Band,Shame On The Moon,1983.0,14,Rock
854,Donna Summer,She Works Hard For The Money,1983.0,15,Disco/R&B
855,Sergio Mendes,Never Gonna Let You Go,1983.0,16,Pop/Rock/Disco
856,Duran Duran,Hungry Like The Wolf,1983.0,17,New Wave/Pop
857,David Bowie,Let's Dance,1983.0,18,Rock/Pop/Art Rock
858,Golden Earring,Twilight Zone,1983.0,19,Pop/Rock/Disco
859,Frida,I Know There's Something Going On,1983.0,20,Pop/Rock/Disco
860,Greg Kihn Band,Jeopardy,1983.0,21,Rock/Pop
861,Eddy Grant,Electric Avenue,1983.0,22,Pop/Rock/Disco
862,Thomas Dolby,She Blinded Me With Science,1983.0,23,Pop/Rock/Disco
863,Toto,Africa,1983.0,24,Rock/Pop
864,Prince,Little Red Corvette,1983.0,25,Pop/Funk/Rock
865,Pretenders,Back On The Chain Gang,1983.0,26,Pop/Rock/Disco
866,Joe Cocker and Jennifer Warnes,Up Where We Belong,1983.0,27,Pop/Rock/Disco
867,Styx,Mr. Roboto,1983.0,28,Rock
868,Lionel Richie,You Are,1983.0,29,Soul/Pop
869,After The Fire,Der Kommissar,1983.0,30,Rock/Pop
870,Taco,Puttin' On The Ritz,1983.0,31,Pop/Rock/Disco
871,Marvin Gaye,Sexual Healing,1983.0,32,Soul/R&B
872,Human League,(Keep Feeling) Fascination,1983.0,33,Synth-pop
873,Culture Club,Time (Clock Of The Heart),1983.0,34,New Wave/Pop
874,Men Without Hats,The Safety Dance,1983.0,35,Pop/Rock/Disco
875,Toni Basil,Mickey,1983.0,36,Pop/Rock/Disco
876,Phil Collins,You Can't Hurry Love,1983.0,37,Rock/Pop
877,Journey,Separate Ways,1983.0,38,Rock/Arena Rock
878,Daryl Hall and John Oates,One On One,1983.0,39,Pop Rock/Soul
879,Kenny Rogers and Sheena Easton,We've Got Tonight,1983.0,40,Country/Pop
880,Prince,1999,1983.0,41,Pop/Funk/Rock
881,Stray Cats,Stray Cat Strut,1983.0,42,Pop/Rock/Disco
882,Billy Joel,Allentown,1983.0,43,Rock/Pop
883,Stevie Nicks,Stand Back,1983.0,44,Pop/Rock/Disco
884,Billy Joel,Tell Her About It,1983.0,45,Rock/Pop
885,Naked Eyes,Always Somethmg There To Remind Me,1983.0,46,Pop/Rock/Disco
886,Lionel Richie,Truly,1983.0,47,Soul/Pop
887,Don Henley,Dirty Laundry,1983.0,48,Pop/Rock/Disco
888,Michael Jackson and Paul McCartney,The Girl Is Mine,1983.0,49,Pop/R&B
889,Kajagoogoo,Too Shy,1983.0,50,Pop/Rock/Disco
890,Prince,When Doves Cry,1984.0,1,Pop/Funk/Rock
891,Tina Turner,What's Love Got To Do With It,1984.0,2,Rock/Soul/Pop
892,Paul McCartney and Michael Jackson,Say Say Say,1984.0,3,Pop/Rock/Disco
893,Kenny Loggins,Footloose,1984.0,4,Rock/Pop
894,Phil Collins,Against All Odds (Take A Look At Me Now),1984.0,5,Rock/Pop
895,Van Halen,Jump,1984.0,6,Hard Rock
896,Lionel Richie,Hello,1984.0,7,Soul/Pop
897,Yes,Owner Of A Lonely Heart,1984.0,8,Pop/Rock/Disco
898,Ray Parker Jr.,Ghostbusters,1984.0,9,Pop/Rock/Disco
899,Culture Club,Karma Chameleon,1984.0,10,New Wave/Pop
900,John Waite,Missing You,1984.0,11,Pop/Rock/Disco
901,Lionel Richie,All Night Long (All Night),1984.0,12,Soul/Pop
902,Deniece Williams,Let's Hear It For The Boy,1984.0,13,Pop/Rock/Disco
903,Bruce Springsteen,Dancing In The Dark,1984.0,14,Rock
904,Cyndi Lauper,Girls Just Want To Have Fun,1984.0,15,Pop/New Wave
905,Duran Duran,The Reflex,1984.0,16,New Wave/Pop
906,Pointer Sisters,Jump (For My Love),1984.0,18,R&B/Pop/Dance
907,Romantics,Talking In Your Sleep,1984.0,19,Pop/Rock/Disco
908,Laura Branigan,Self Control,1984.0,20,Pop/Rock/Disco
909,Prince and The Revolution,Let's Go Crazy,1984.0,21,Pop/Funk/Rock
910,Daryl Hall and John Oates,Say It Isn't So,1984.0,22,Pop Rock/Soul
911,Thompson Twins,Hold Me Now,1984.0,23,Pop/Rock/Disco
912,Kool and The Gang,Joanna,1984.0,24,Funk/R&B
913,Stevie Wonder,I Just Called To Say I Love You,1984.0,25,Soul/R&B
914,Rockwell,Somebody's Watching Me,1984.0,26,Pop/Rock/Disco
915,Matthew Wilder,Break My Stride,1984.0,27,Pop/Rock/Disco
916,Nena,99 Luftballons,1984.0,28,Pop/Rock/Disco
917,Dan Hartman,I Can Dream About You,1984.0,29,Pop/Rock/Disco
918,Sheila E.,The Glamorous Life,1984.0,30,Pop/Rock/Disco
919,Steve Perry,Oh Sherrie,1984.0,31,Pop/Rock/Disco
920,Lionel Richie,Stuck On You,1984.0,32,Soul/Pop
921,Elton John,I Guess That's Why They Call It The Blues,1984.0,33,Rock/Pop
922,Cyndi Lauper,She Bop,1984.0,34,Pop/New Wave
923,Madonna,Borderline,1984.0,35,Pop/Dance
924,Corey Hart,Sunglasses At Night,1984.0,36,Pop Rock
925,Billy Idol,Eyes Without A Face,1984.0,37,Rock/New Wave
926,Eurythmics,Here Comes The Rain Again,1984.0,38,Synth-pop
927,Billy Joel,Uptown Girl,1984.0,39,Rock/Pop
928,Night Ranger,Sister Christian,1984.0,40,Pop/Rock/Disco
929,Cars,Drive,1984.0,41,Pop/Rock/Disco
930,Olivia Newton-John,Twist Of Fate,1984.0,42,Pop/Country
931,Duran Duran,Union Of The Snake,1984.0,43,New Wave/Pop
932,Huey Lewis and The News,The Heart Of Rock 'N' Roll,1984.0,44,Rock/Pop
933,Chicago,Hard Habit To Break,1984.0,45,Rock/Pop
934,Scandal,The Warrior,1984.0,46,Pop/Rock/Disco
935,Peabo Bryson,If Ever You're In My Arms Again,1984.0,47,Pop/Rock/Disco
936,Pointer Sisters,Automatic,1984.0,48,R&B/Pop/Dance
937,Shannon,Let The Music Play,1984.0,49,Pop/Rock/Disco
938,Julio Iglesias and Willie Nelson,To All The Girls I've Loved Before,1984.0,50,Pop/Rock/Disco
939,Wham!,Careless Whisper,1985.0,1,Pop
940,Madonna,Like A Virgin,1985.0,2,Pop/Dance
941,Wham!,Wake Me Up Before You Go-Go,1985.0,3,Pop
942,Foreigner,I Want To Know What Love Is,1985.0,4,Rock
943,Chaka Khan,I Feel For You,1985.0,5,Pop/Rock/R&B
944,Daryl Hall and John Oates,Out Of Touch,1985.0,6,Pop Rock/Soul
945,Tears For Fears,Everybody Wants To Rule The World,1985.0,7,Pop/Rock/R&B
946,Dire Straits,Money For Nothing,1985.0,8,Pop/Rock/R&B
947,Madonna,Crazy For You,1985.0,9,Pop/Dance
948,a-ha,Take On Me,1985.0,10,Pop/Rock/R&B
949,Paul Young,Everytime You Go Away,1985.0,11,Pop/Rock/R&B
950,Philip Bailey and Phil Collins,Easy Lover,1985.0,12,Pop/Rock/R&B
951,REO Speedwagon,Can't Fight This Feeling,1985.0,13,Rock
952,Starship,We Built This City,1985.0,14,Pop Rock
953,Huey Lewis and The News,The Power Of Love,1985.0,15,Rock/Pop
954,Simple Minds,Don't You (Forget About Me),1985.0,16,Pop/Rock/R&B
955,Kool and The Gang,Cherish,1985.0,17,Funk/R&B
956,John Parr,St. Elmo's Fire (Man In Motion),1985.0,18,Pop/Rock/R&B
957,Glenn Frey,The Heat Is On,1985.0,19,Pop/Rock/R&B
958,U.S.A. For Africa,We Are The World,1985.0,20,Pop/Rock/R&B
959,Tears For Fears,Shout,1985.0,21,Pop/Rock/R&B
960,Stevie Wonder,Part-Time Lover,1985.0,22,Soul/R&B
961,Whitney Houston,Saving All My Love For You,1985.0,23,Pop/R&B
962,Bryan Adams,Heaven,1985.0,24,Rock
963,Wham!,Everything She Wants,1985.0,25,Pop
964,New Edition,Cool It Now,1985.0,26,Pop/Rock/R&B
965,Billy Ocean,Loverboy,1985.0,28,R&B/Pop
966,Teena Marie,Lover Girl,1985.0,29,Pop/Rock/R&B
967,Glenn Frey,You Belong To The City,1985.0,30,Pop/Rock/R&B
968,Ready For The World,Oh Sheila,1985.0,31,Rock/Pop
969,Debarge,Rhythm Of The Night,1985.0,32,Pop/Rock/R&B
970,Phil Collins,One More Night,1985.0,33,Rock/Pop
971,Honeydrippers,Sea Of Love,1985.0,34,Pop/Rock/R&B
972,Duran Duran,A View To A Kill,1985.0,35,New Wave/Pop
973,Duran Duran,The Wild Boys,1985.0,36,New Wave/Pop
974,Chicago,You're The Inspiration,1985.0,37,Rock/Pop
975,Pointer Sisters,Neutron Dance,1985.0,38,R&B/Pop/Dance
976,Pat Benatar,We Belong,1985.0,39,Rock
977,Commodores,Nightshift,1985.0,40,Soul/Funk
978,Howard Jones,Things Can Only Get Better,1985.0,41,Pop/Rock/R&B
979,Jack Wagner,All I Need,1985.0,42,Pop/Rock/R&B
980,Aretha Franklin,Freeway Of Love,1985.0,43,Soul/R&B
981,Corey Hart,Never Surrender,1985.0,44,Pop Rock
982,Phil Collins,Sussudio,1985.0,45,Rock/Pop
983,Sheena Easton,Strut,1985.0,46,Pop
984,Whitney Houston,You Give Good Love,1985.0,47,Pop/R&B
985,Survivor,The Search Is Over,1985.0,48,Rock
986,Diana Ross,Missing You,1985.0,49,Pop/Soul
987,Phil Collins and Marilyn Martin,Separate Lives,1985.0,50,Rock/Pop
988,Dionne and Friends,That's What Friends Are For,1986.0,1,Pop/Rock/R&B
989,Lionel Richie,"Say You, Say Me",1986.0,2,Soul/Pop
990,Klymaxx,I Miss You,1986.0,3,Pop/Rock/R&B
991,Patti Labelle and Michael McDonald,On My Own,1986.0,4,Pop/Rock/R&B
992,Mr. Mister,Broken Wings,1986.0,5,Pop/Rock/R&B
993,Whitney Houston,How Will I Know,1986.0,6,Pop/R&B
994,Eddie Murphy,Party All The Time,1986.0,7,Pop/Rock/R&B
995,Survivor,Burning Heart,1986.0,8,Rock
996,Mr. Mister,Kyrie,1986.0,9,Pop/Rock/R&B
997,Robert Palmer,Addicted To Love,1986.0,10,Rock/Pop
998,Whitney Houston,Greatest Love Of All,1986.0,11,Pop/R&B
999,Atlantic Starr,Secret Lovers,1986.0,12,R&B/Soul
1000,Carl Anderson and Gloria Loring,Friends And Lovers,1986.0,13,Pop/Rock/R&B
1001,Peter Cetera,Glory Of Love,1986.0,14,Pop/Rock/R&B
1002,Pet Shop Boys,West End Girls,1986.0,15,Synth-pop
1003,Billy Ocean,There'll Be Sad Songs,1986.0,16,R&B/Pop
1004,Simple Minds,Alive And Kicking,1986.0,17,Pop/Rock/R&B
1005,Heart,Never,1986.0,18,Rock
1006,Prince and The Revolution,Kiss,1986.0,19,Pop/Funk/Rock
1007,Steve Winwood,Higher Love,1986.0,20,Pop/Rock/R&B
1008,Huey Lewis and The News,Stuck With You,1986.0,21,Rock/Pop
1009,Simply Red,Holding Back The Years,1986.0,22,Pop/Rock/R&B
1010,Peter Gabriel,Sledgehammer,1986.0,23,Pop/Rock/R&B
1011,Starship,Sara,1986.0,24,Pop Rock
1012,Human League,Human,1986.0,25,Synth-pop
1013,Nu Shooz,I Can't Wait,1986.0,26,Pop/Rock/R&B
1014,Berlin,Take My Breath Away,1986.0,27,Pop/Rock/R&B
1015,Falco,Rock Me Amadeus,1986.0,28,Pop/Rock/R&B
1016,Madonna,Papa Don't Preach,1986.0,29,Pop/Dance
1017,Bon Jovi,You Give Love A Bad Name,1986.0,30,Hard Rock
1018,Billy Ocean,When The Going Gets Tough,1986.0,31,R&B/Pop
1019,Janet Jackson,When I Think Of You,1986.0,32,Pop/R&B
1020,Heart,These Dreams,1986.0,33,Rock
1021,Glass Tiger,Don't Forget Me (When I'm Gone),1986.0,34,Pop/Rock/R&B
1022,Madonna,Live To Tell,1986.0,35,Pop/Dance
1023,Belinda Carlisle,Mad About You,1986.0,36,Pop/Rock/R&B
1024,Level 42,Something About You,1986.0,37,Pop/Rock/R&B
1025,Bananarama,Venus,1986.0,38,Pop/Rock/R&B
1026,Lionel Richie,Dancing On The Ceiling,1986.0,39,Soul/Pop
1027,Miami Sound Machine,Conga,1986.0,40,Pop/Rock/R&B
1028,Cyndi Lauper,True Colors,1986.0,41,Pop/New Wave
1029,Kenny Loggins,Danger Zone,1986.0,42,Rock/Pop
1030,Janet Jackson,What Have You Done For Me Lately,1986.0,43,Pop/R&B
1031,Howard Jones,No One Is To Blame,1986.0,44,Pop/Rock/R&B
1032,Sly Fox,Let's Go All The Way,1986.0,45,Pop/Rock/R&B
1033,Robert Palmer,I Didn't Mean To Turn You On,1986.0,46,Rock/Pop
1034,Miami Sound Machine,Words Get In The Way,1986.0,47,Pop/Rock/R&B
1035,Bangles,Manic Monday,1986.0,48,Pop/Rock
1036,Dire Straits,Walk Of Life,1986.0,49,Pop/Rock/R&B
1037,Boston,Amanda,1986.0,50,Rock
1038,Bangles,Walk Like An Egyptian,1987.0,1,Pop/Rock
1039,Heart,Alone,1987.0,2,Rock
1040,Gregory Abbott,Shake You Down,1987.0,3,Pop/Rock/R&B
1041,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987.0,4,Pop/R&B
1042,Starship,Nothing's Gonna Stop Us Now,1987.0,5,Pop Rock
1043,Robbie Nevil,C'est La Vie,1987.0,6,Pop/Rock/R&B
1044,Whitesnake,Here I Go Again,1987.0,7,Pop/Rock/R&B
1045,Bruce Hornsby and The Range,The Way It Is,1987.0,8,Rock/Pop
1046,Bob Seger,Shakedown,1987.0,9,Rock
1047,Bon Jovi,Livin' On A Prayer,1987.0,10,Hard Rock
1048,Los Lobos,La Bamba,1987.0,11,Pop/Rock/R&B
1049,Wang Chung,Everybody Have Fun Tonight,1987.0,12,Pop/Rock/R&B
1050,Crowded House,Don't Dream It's Over,1987.0,13,Pop/Rock/R&B
1051,Atlantic Starr,Always,1987.0,14,R&B/Soul
1052,U2,With Or Without You,1987.0,15,Rock
1053,Jody Watley,Looking For A New Love,1987.0,16,R&B/Dance
1054,Lisa Lisa and Cult Jam,Head To Toe,1987.0,17,Pop/Rock/R&B
1055,Tiffany,I Think We're Alone Now,1987.0,18,Pop/Rock/R&B
1056,Billy Idol,Mony Mony,1987.0,19,Rock/New Wave
1057,Billy Vera and The Beaters,At This Moment,1987.0,20,Rock/Pop
1058,Chris De Burgh,The Lady In Red,1987.0,21,Pop/Rock/R&B
1059,Whitney Houston,Didn't We Almost Have It All,1987.0,22,Pop/R&B
1060,U2,I Still Haven't Found What I'm Looking For,1987.0,23,Rock
1061,George Michael,I Want Your Sex,1987.0,24,Pop/Soul
1062,Duran Duran,Notorious,1987.0,25,New Wave/Pop
1063,Debbie Gibson,Only In My Dreams,1987.0,26,Pop
1064,Bill Medley and Jennifer Warnes,(I've Had) The Time Of My Life,1987.0,27,Pop/Rock/R&B
1065,Peter Cetera and Amy Grant,The Next Time I Fall,1987.0,28,Pop/Rock/R&B
1066,Club Nouveau,Lean On Me,1987.0,29,Pop/Rock/R&B
1067,Madonna,Open Your Heart,1987.0,30,Pop/Dance
1068,Lisa Lisa and Cult Jam,Lost In Emotion,1987.0,31,Pop/Rock/R&B
1069,Cutting Crew,(I Just) Died In Your Arms,1987.0,32,Pop/Rock/R&B
1070,T'pau,Heart And Soul,1987.0,33,Pop/Rock/R&B
1071,Kim Wilde,You Keep Me Hangin' On,1987.0,34,Pop/Rock/R&B
1072,Georgia Satellites,Keep Your Hands To Yourself,1987.0,35,Pop/Rock/R&B
1073,Aretha Franklin and George Michael,I Knew You Were Waiting (For Me),1987.0,36,Soul/R&B
1074,Janet Jackson,Control,1987.0,37,Pop/R&B
1075,Prince,U Got The Look,1987.0,38,Pop/Funk/Rock
1076,Linda Ronstadt and James Ingram,Somewhere Out There,1987.0,39,Rock/Country/Pop
1077,Genesis,Land Of Confusion,1987.0,40,Progressive Rock/Pop
1078,Huey Lewis and The News,Jacob's Ladder,1987.0,41,Rock/Pop
1079,Madonna,Who's That Girl,1987.0,42,Pop/Dance
1080,Jets,You Got It All,1987.0,43,Pop/Rock/R&B
1081,Samantha Fox,Touch Me (I Want Your Body),1987.0,44,Pop/Rock/R&B
1082,Michael Jackson and Siedah Garrett,I Just Can't Stop Loving You,1987.0,45,Pop/R&B
1083,Madonna,Causing A Commotion,1987.0,46,Pop/Dance
1084,Genesis,In Too Deep,1987.0,47,Progressive Rock/Pop
1085,Janet Jackson,Let's Wait Awhile,1987.0,48,Pop/R&B
1086,Huey Lewis and The News,Hip To Be Square,1987.0,49,Rock/Pop
1087,Chicago,Will You Still Love Me?,1987.0,50,Rock/Pop
1088,George Michael,Faith,1988.0,1,Pop/Soul
1089,INXS,Need You Tonight,1988.0,2,Pop/Rock/R&B
1090,George Harrison,Got My Mind Set On You,1988.0,3,Rock/Pop
1091,Rick Astley,Never Gonna Give You Up,1988.0,4,Pop/Rock/R&B
1092,Guns N' Roses,Sweet Child O' Mine,1988.0,5,Hard Rock
1093,Whitney Houston,So Emotional,1988.0,6,Pop/R&B
1094,Belinda Carlisle,Heaven Is A Place On Earth,1988.0,7,Pop/Rock/R&B
1095,Tiffany,Could've Been,1988.0,8,Pop/Rock/R&B
1096,Breathe,Hands To Heaven,1988.0,9,Pop/Rock/R&B
1097,Steve Winwood,Roll With It,1988.0,10,Pop/Rock/R&B
1098,George Michael,One More Try,1988.0,11,Pop/Soul
1099,Terence Trent d'Arby,Wishing Well,1988.0,12,Pop/Rock/R&B
1100,Gloria Estefan and Miami Sound Machine,Anything For You,1988.0,13,Pop/Latin
1101,Cheap Trick,The Flame,1988.0,14,Pop/Rock/R&B
1102,Billy Ocean,"Get Outta My Dreams, Get Into My Car",1988.0,15,R&B/Pop
1103,Expose,Seasons Change,1988.0,16,Pop/Rock/R&B
1104,Whitesnake,Is This Love,1988.0,17,Pop/Rock/R&B
1105,Escape Club,"Wild, Wild West",1988.0,18,Pop/Rock/R&B
1106,Def Leppard,Pour Some Sugar On Me,1988.0,19,Hard Rock
1107,Taylor Dayne,I'll Always Love You,1988.0,20,Pop/Dance
1108,Michael Jackson,Man In The Mirror,1988.0,21,Pop/R&B
1109,Debbie Gibson,Shake Your Love,1988.0,22,Pop
1110,Robert Palmer,Simply Irresistible,1988.0,23,Rock/Pop
1111,Richard Marx,Hold On To The Nights,1988.0,24,Pop/Soft Rock
1112,Eric Carnen,Hungry Eyes,1988.0,25,Pop/Rock/R&B
1113,Johnny Hates Jazz,Shattered Dreams,1988.0,26,Pop/Rock/R&B
1114,George Michael,Father Figure,1988.0,27,Pop/Soul
1115,Samantha Fox,Naughty Girls (Need Love Too),1988.0,28,Pop/Rock/R&B
1116,Phil Collins,A Groovy Kind Of Love,1988.0,29,Rock/Pop
1117,Def Leppard,Love Bites,1988.0,30,Hard Rock
1118,Richard Marx,Endless Summer Nights,1988.0,31,Pop/Soft Rock
1119,Debbie Gibson,Foolish Beat,1988.0,32,Pop
1120,Whitney Houston,Where Do Broken Hearts Go,1988.0,33,Pop/R&B
1121,Aerosmith,Angel,1988.0,34,Hard Rock
1122,Bangles,Hazy Shade Of Winter,1988.0,35,Pop/Rock
1123,Michael Jackson,The Way You Make Me Feel,1988.0,36,Pop/R&B
1124,Bobby McFerrin,"Don't Worry, Be Happy",1988.0,37,Pop/Rock/R&B
1125,Eric Carnen,Make Me Lose Control,1988.0,38,Pop/Rock/R&B
1126,UB40,Red Red Wine,1988.0,39,Pop/Rock/R&B
1127,Patric Swayze,She's Like The Wind,1988.0,40,Pop/Rock/R&B
1128,Bon Jovi,Bad Medicine,1988.0,41,Hard Rock
1129,Beach Boys,Kokomo,1988.0,42,Rock/Pop
1130,Elton John,I Don't Wanna Go On With You Like That,1988.0,43,Rock/Pop
1131,Rick Astley,Together Forever,1988.0,44,Pop/Rock/R&B
1132,George Michael,Monkey,1988.0,45,Pop/Soul
1133,INXS,Devil Inside,1988.0,46,Pop/Rock/R&B
1134,Richard Marx,Should've Known Better,1988.0,47,Pop/Soft Rock
1135,Chicago,I Don't Wanna Live Without Your Love,1988.0,48,Rock/Pop
1136,Kylie Minogue,The Loco-Motion,1988.0,49,Pop/Rock/R&B
1137,Pet Shop Boys and Dusty Springfield,What Have I Done To Deserve This?,1988.0,50,Synth-pop
1138,Chicago,Look Away,1989.0,1,Rock/Pop
1139,Bobby Brown,My Prerogative,1989.0,2,R&B/Pop
1140,Poison,Every Rose Has Its Thorn,1989.0,3,Pop/Rock/R&B
1141,Paula Abdul,Straight Up,1989.0,4,Pop/Dance
1142,Janet Jackson,Miss You Much,1989.0,5,Pop/R&B
1143,Paula Abdul,Cold Hearted,1989.0,6,Pop/Dance
1144,Bette Midler,Wind Beneath My Wings,1989.0,7,Pop
1145,Milli Vanilli,Girl You Know It's True,1989.0,8,Pop/Dance
1146,Will To Power,"Baby, I Love Your Way-Freebird",1989.0,9,Pop/Rock/R&B
1147,Anita Baker,Giving You The Best That I Got,1989.0,10,Pop/Rock/R&B
1148,Richard Marx,Right Here Waiting,1989.0,11,Pop/Soft Rock
1149,Boy Meets Girl,Waiting For A Star To Fall,1989.0,12,Pop/Rock/R&B
1150,Debbie Gibson,Lost In Your Eyes,1989.0,13,Pop
1151,Gloria Estefan,Don't Wanna Lose You,1989.0,14,Pop/Latin
1152,Warrant,Heaven,1989.0,15,Pop/Rock/R&B
1153,Milli Vanilli,Girl I'm Gonna Miss You,1989.0,16,Pop/Dance
1154,Roxette,The Look,1989.0,17,Pop Rock
1155,Fine Young Cannibals,She Drives Me Crazy,1989.0,18,New Wave/Soul
1156,Bobby Brown,On Our Own,1989.0,19,R&B/Pop
1157,Phil Collins,Two Hearts,1989.0,20,Rock/Pop
1158,Milli Vanilli,Blame It On The Rain,1989.0,21,Pop/Dance
1159,Roxette,Listen To Your Heart,1989.0,22,Pop Rock
1160,Bon Jovi,I'll Be There For You,1989.0,23,Hard Rock
1161,Simply Red,If You Don't Know Be By Now,1989.0,24,Pop/Rock/R&B
